LeftPosition,RightPosition,LeftVelocity,RightVelocity,LeftAcceleration,RightAcceleration,Heading
0.0,0.0,-0.0,-0.0,-200.0,-200.0,0.0
-0.02000402792624074,-0.01999597207375926,-2.000402792624074,-1.999597207375926,-200.1208197266162,-199.87918027338387,359.9999953373614
-0.06003622980148986,-0.05996377019851015,-4.003220187524911,-3.9967798124750895,-200.48274100495274,-199.5172589950473,359.99992543104315
-0.12014479032309862,-0.11985520967690139,-6.010856052160876,-5.989143947839124,-201.08415832258336,-198.91584167741675,359.99962277488993
-0.20040172001299777,-0.19959827998700225,-8.025692968989917,-7.974307031010086,-201.9224237664559,-198.07757623354416,359.9988090165131
-0.30090253956523216,-0.2990974604347678,-10.05008195522344,-9.94991804477656,-202.9938862481296,-197.0061137518704,359.9970961855196
-0.42176586780150616,-0.4182341321984938,-12.0863328236274,-11.913667176372597,-204.29394934019612,-195.70605065980388,359.9939883684848
-0.5631329161666645,-0.5568670838333355,-14.136704836515833,-13.863295163484167,-205.81713556616,-194.18286443384,359.9888838583654
-0.7251669005257502,-0.7148330994742498,-16.203398435908568,-15.796601564091432,-207.5571693430756,-192.4428306569244,359.98107767730846
-0.9080523792610696,-0.8919476207389303,-18.288547873531943,-17.711452126468057,-209.50706744891284,-190.49293255108716,359.96976443968134
-1.111994521988707,-1.0880054780112929,-20.394214272763755,-19.605785727236253,-211.65923025862128,-188.34076974137878,359.9540416335013
-1.337218319900682,-1.302781680099318,-22.522379791197494,-21.4776202088025,-214.00553963251176,-185.9944603674883,359.932913198244
-1.5839677550424618,-1.536032244957538,-24.674943514177983,-23.32505648582201,-216.5374622281665,-183.46253777183355,359.90529315612883
-1.852504937499815,-1.7874950625001849,-26.853718245735323,-25.14628175426467,-219.24614488169954,-180.75385511830052,359.87000937245523
-2.1431091915413942,-2.0568908084586055,-29.060425404157943,-26.93957459584205,-222.12248277101966,-177.8775172289804,359.82580832894905
-2.45607615201783,-2.34392384798217,-31.296696047643547,-28.703303952356446,-225.15721131961246,-174.84278868038749,359.7713584169099
-2.7917168248779785,-2.648283175122021,-33.56406728601488,-30.43593271398512,-228.3409423134306,-171.6590576865694,359.7052548698609
-3.150356619262724,-2.9696433807372755,-35.863979438474544,-32.13602056152544,-231.66418381874945,-168.33581618125055,359.6260249447267
-3.532334462275813,-3.307665537724187,-38.19778430130886,-33.80221569869116,-235.11737971886905,-164.8826202811309,359.53212856380355
-3.938001757594116,-3.661998242405884,-40.56672953183033,-35.433270468169695,-238.69080047086362,-161.30919952913644,359.42196866015945
-4.367721443544692,-4.032278556455308,-42.97196859505759,-37.02803140494241,-242.37451528935085,-157.6254847106492,359.29389090062455
-4.821866978153278,-4.418133021846722,-45.41455346085863,-38.58544653914137,-246.15823856260167,-153.84176143739833,359.14619011006835
-5.300821270563459,-4.819178729436541,-47.89542924101802,-40.10457075898198,-250.0311404424173,-149.9688595575827,358.97711564630924
-5.804975624077014,-5.235024375922986,-50.41543535135547,-41.58456464864453,-253.98162144824084,-146.01837855175927,358.7848720877549
-6.3347283994307,-5.6652716005693,-52.97527753536862,-43.02472246463137,-257.9969423188435,-142.0030576811565,358.5676351590731
-6.890483832600133,-6.109516167399867,-55.57554331694331,-44.42445668305669,-262.06291637765764,-137.93708362234239,358.32354109802435
-7.47265037170336,-6.567349628296639,-58.21665391032273,-45.78334608967726,-266.16336463390394,-133.83663536609606,358.05071181265043
-8.08163901204192,-7.03836098795808,-60.89886403385593,-47.1011359661441,-270.27963396940737,-129.72036603059257,357.7472490557187
-8.717861258798337,-7.522138741201663,-63.62222467564169,-48.377775324358325,-274.3899597816187,-125.6100402183813,357.4112488915727
-9.38172685028209,-8.01827314971791,-66.38655914837543,-49.613440851624624,-278.46879832915715,-121.53120167084283,357.04080395290526
-10.073640818134361,-8.52635918186564,-69.19139678522706,-50.80860321477299,-282.48604835169755,-117.51395164830245,356.6340340729232
-10.794000399501153,-9.045999600498849,-72.03595813667908,-51.96404186332096,-286.4063172376672,-113.59368276233283,356.18907372853874
-11.543191046870819,-9.576808953129182,-74.91906473696666,-53.080935263033396,-290.1880898644548,-109.81191013554525,355.70411478680427
-12.321582026693914,-10.118417973306087,-77.83909798230964,-54.16090201769045,-293.78299298203217,-106.2170070179678,355.1774063787806
-13.129521181362621,-10.670478818637381,-80.79391546687067,-55.20608453312941,-297.1351110493222,-102.86488895067777,354.6072869043509
-13.967328931531185,-11.232671068468818,-83.78077501685642,-56.21922498314366,-300.18047614009254,-99.81952385990735,353.9922083365821
